Article_ID,Date,Title,Summary,Topic_2digit
1,1/1/1996,Nation's Smaller Jails Struggle To Cope With Surge in Inmates ,Jails overwhelmed with hardened criminals,12
2,1/1/1996,Dancing (and Kissing) In the New Year ,new years activities,28
3,1/1/1996,Forbes's Silver Bullet for the Nation's Malaise ,Steve Forbes running for President,20
4,1/1/1996,"Up at Last, Bridge to Bosnia Is Swaying Gateway for G.I.'s ",U.S. military constructs bridge to help their mission in Bosnia,16
5,1/1/1996,2 SIDES IN SENATE DISAGREE ON PLAN TO END FURLOUGHS ,Democrats and Republicans can't agree on plan to end furloughs,20
6,1/1/1996,"A U.S. Agency, Once Powerful, Is Dead at 108 ",Interstate Commerce Commission stripped of most of its powers,10
7,1/1/1996,"For More and More Job Seekers, An Aging Parent Is a Big Factor ",Companies trying to overcome relocation hurdles for job seekers,5
8,1/2/1996,A Toll Road in California Offers A High-Tech Answer to Traffic ,Private company builds highway guaranteed traffic free,10
9,1/2/1996,Tokyo's Lights Lure the Young To Forsake Rural Way of Life ,number of farmers declining in Japan,19
10,1/2/1996,The New Year Is a New Story ,college football bowl games,29
11,1/2/1996,FEDERAL IMPASSE SADDLING STATES WITH INDECISION ,Federal budget impasse affect on states,20
12,1/2/1996,Variant Gene Tied to a Love Of New Thrills ,researchers find that novelty seekers have a particular variant of a gene,3
13,1/2/1996,"Pataki's Budget Plan in Brief: Amid Austerity, a Tax Break ",Pataki proposes state budget,24
14,1/2/1996,BUSINESS WORLD; Outlook '96 ,Effect of deregulation on businesses,15
15,1/2/1996,Clinton the Conciliator Finds His Line in Sand ,Bill Clinton seeking compromise on budget,1
16,1/3/1996,"JOB CUTS AT AT&T WILL TOTAL 40,000, 13% OF ITS STAFF ",AT&T job cut,5
17,1/3/1996,Bosnian Officials Say Serbs Abducted 16 Near Sarajevo ,Bosnian Serbs accused of abducting 16 civilians,19
18,1/3/1996,Senate G.O.P. Votes to Reopen Offices Shut in Budget Impasse ,Republicans agree to open offices while talks continue on the Federal budget,1
19,1/3/1996,What's Yellow and Red and White All Over? ,bad weather and school,26
20,1/3/1996,"RECORD EARNINGS, BUT LESS SHARING ",company dividends at a record low,15
21,1/3/1996,"Long, Costly Prelude Does Little To Alter Plot of Presidential Race ",Contenders for 1996 Presedential elections,20
22,1/3/1996,Anti-Immigrant Mood Moves Asians to Organize ,Growing political activity among Asian-Americans in response to anti-immigrant sentiment,5
23,1/3/1996,Decisive Victory for Nebraska ,college football,29
24,1/3/1996,Backing Natural Cures ,County Council backs government-subsidized natural medicine clinic,3
25,1/3/1996,"In an About-Face, U.S. Says Alcohol Has Health Benefits ",Update on the Dietary Guidelines for Americans,3
26,1/4/1996,Let the (New York) Budget Battle Begin ,NY state budget battle,24
27,1/4/1996,A PROTEIN TELLS EATERS TO STOP ,Scientists discover protein that tells eaters when to stop,3
28,1/4/1996,Burst Pipe in Queens Leaves A Big Hole and Big Questions ,water pipe bursts,24
29,1/4/1996,BATTLE OVER THE BUDGET: THE OVERVIEW; HOUSE LAWMAKERS REJECT DOLE PLAN TO REOPEN OFFICES ,Battle over Federal budget,1
30,1/4/1996,NATO Presses Serbs To Release Civilians ,NATO presses Serbs to release 16 Bosnian citizens,16
31,1/4/1996,Top Leader of the Bosnian Serbs Now Under Attack From Within ,Bosnian Serb leader criticized from within,19
32,1/4/1996,'95 Is Hottest Year on Record As the Global Trend Resumes ,Hottest year on record,26
33,1/4/1996,The Ripple Grows ,Budget impasse leaving offices closed,1
34,1/5/1996,Retailers Call Sales in December Worst Since '90-'91 Recession ,Retailers experiencing poor sales,15
35,1/5/1996,Colleague's Funeral Is a Lesson in Firefighters' Vulnerability ,unpredictable destiny for firefighters,12
36,1/5/1996,Workers Strike Office Towers In Manhattan ,maintenance workers go on strike,5
37,1/5/1996,Deaths at Hospital Said Not to Reflect Systemwide Flaws ,problems at one hospital said not to refelct sytemwide flaws,3
38,1/5/1996,Atoms of Antimatter Created by Physicists ,atoms of antihydrogen created by scientists,3
39,1/5/1996,Memo Places Hillary Clinton At Core of Travel Office Case ,Hilary Clinton placed at core of travel office dismissals,20
40,1/5/1996,"Under Pressure by NATO, Bosnian Serbs Free Captives ",Bosnian Serbs release captives after NATO pressure,16
41,1/5/1996,BATTLE OVER THE BUDGET: THE OVERVIEW; LEADERS IN HOUSE DROP G.O.P. PLAN ON U.S. WORKERS ,Battle over budget: Republican leaders abandon strategy of using closed Government offices,1
42,1/6/1996,U.S. Rights Group Asserts China Lets Thousands of Orphans Die ,human rights group asserts China lets thousands of orphans die,19
43,1/6/1996,Japan Premier Resigns in Sign Of a Party Shift ,Prime Minister of Japan resigns,19
44,1/6/1996,"Lincoln Kirstein, City Ballet Co-Founder, Dies ",Lincoln Kirstein dies at 88,30
45,1/6/1996,"CONGRESS VOTES TO RETURN 760,000 TO FEDERAL PAYROLL AND RESUME SOME SERVICES; Republicans' Boomerang ",congress votes to end government shutdown,1
46,1/6/1996,Elusive Papers of Law Firm Are Found at White House ,investigation of hillary clinton,20
47,1/6/1996,"CONGRESS VOTES TO RETURN 760,000 TO FEDERAL PAYROLL AND RESUME SOME SERVICES; STEP IS TEMPORARY ",federal budget crisis,1
48,1/6/1996,Ex-Kidder Trader Is Expected to Face Limited Sanctions ,SEC charges against a trader,15
49,1/6/1996,You Call This Cold? ,cold weather,26
50,1/7/1996,Outsiders No More ,end of the federal shutdown,1
51,1/7/1996,South African Democracy Stumbles on Old Rivalry ,political violence in south africa,19
52,1/7/1996,"WITH CHARLIE COMPANY; G.I.'s Meet Bosnia Serb Troops, but Gingerly ",US peacekeeping in bosnia,16
53,1/7/1996,CLINTON MEETS CHALLENGE BY OFFERING BUDGET PLAN; CRUCIAL TALKS BEGIN SOON ,clinton offers a plan for the budget,1
54,1/7/1996,High-Tech Pregnancies Test Hope's Limit ,pregnancies,3
55,1/7/1996,Record-Low Temperatures Are Hobbling the Northeast ,record low temperatures,26
56,1/8/1996,"THE BLIZZARD OF 1996: THE EFFECTS; Whiteout Forces Shutdown Of Schools, Harbor and U.N. ",blizzard shuts down schools,26
57,1/8/1996,THE BLIZZARD OF 1996: THE STORM; Coastal Blizzard Paralyzes New York and Northeast ,blizzard,26
58,1/8/1996,"With the Blizzard, A Bit of Good Luck ",blizzard and a car dealer,26
59,1/8/1996,BATTLE OVER THE BUDGET: THE OVERVIEW; A Chilly G.O.P. Response To Clinton's Budget Plan ,budget talks,1
60,1/8/1996,Egg Donations Meet a Need And Raise Ethical Questions ,ethics of donating eggs,3
61,1/8/1996,"Among Economists, Little Fear on Deficit ",economists not afraid of a deficit,1
62,1/8/1996,BATTLE OVER THE BUDGET: NEWS ANALYSIS; Agreement And Illusion ,fight over the federal budget,1
63,1/9/1996,Pronet Buys 3 Concerns,Pronet Inc. paper compnay acquisition merger,15
64,1/9/1996,Francois Mitterrand Dies at 79; Champion of a Unified Europe ,mitterand dies,30
65,1/9/1996,Infertile Couples Forge Ties Within Society of Their Own ,infertile couples,3
66,1/9/1996,"THE BLIZZARD OF 1996: THE OVERVIEW; NEW YORK SHUT BY WORST STORM IN 48 YEARS; EAST IS BURIED, VIRGINIA TO MASSACHUSETTS ",blizzard in new york,26
67,1/9/1996,THE BLIZZARD OF 1996: THE WORKERS; The Call of Duty Is Heard Clearly in Howl of Storm ,blizzard,26
68,1/9/1996,"THE BLIZZARD OF 1996: THE COMMUTE; For Commuters, It Was Not-So-Mass Transit ",blizzard and commuters,26
69,1/10/1996,A Sharp Pullback ,stock market slides,1
70,1/10/1996,THE BLIZZARD OF 1996: THE NEIGHBORHOOD; One Brooklyn Block Mirrors Millions of Ups and Downs ,blizzard,26
71,1/10/1996,BATTLE OVER THE BUDGET: THE OVERVIEW; TALKS ON BUDGET ARE PUT ON HOLD AMID UNCERTAINTY ,budget fight,1
72,1/10/1996,"THE BLIZZARD OF 1996: THE COMMUTERS; For Commuters, That Trek To Work Seemed Endless ",blizzard and commuters,26
73,1/10/1996,Welfare Bill Vetoed ,clinton vetoes a welfare bill,13
74,1/10/1996,Chechen Raid Again Captures Many Russians ,chechens capture russians,19
75,1/10/1996,"From Lives Begun in a Lab, Brave New Joy ",girl born in a petri dish,3
76,1/10/1996,THE BLIZZARD OF 1996: THE OVERVIEW; Snow-Clogged Region Stirs Back to Life As Novelty Fades and Frustrations Mount ,blizzard effects ending,26
77,1/11/1996,Bosnian Mine Is Thought to Hold Evidence of Mass Killings ,mass killing evidence in bosnia,19
78,1/11/1996,THE BLIZZARD OF 1996: THE COST; Experts Call It a Billion-Dollar Blizzard ,blizzard's cost,26
79,1/11/1996,CHECHEN RAIDERS GIVE UP HOSPITAL AND ARE FIRED ON ,fighting in chechnya,19
80,1/11/1996,Man in the News: Ryutaro Hashimoto; A Japanese Unafraid of the Summit ,new leader in japan,19
81,1/11/1996,High Court Is Cool To Census Change ,census changes,20
82,1/11/1996,Market Drop Grabs Notice Of Both Sides ,stock market drops,1
83,1/11/1996,BUDGET FOES SEE FIGHT CONTINUING TILL THE ELECTION ,budget fight and the election,1
84,1/12/1996,BATTLE OVER THE BUDGET: THE OVERVIEW; PRESIDENT URGES A RENEWED EFFORT ON A BUDGET DEAL ,clinton talks about the budget,1
85,1/12/1996,Funeral for Mitterrand ,mitterand's funeral,19
86,1/12/1996,New Yorker Is Given Life Sentence in Peru ,life sentence for marxist guerilla helper in peru,19
87,1/12/1996,BATTLE OVER THE BUDGET: POLITICAL MEMO; Campaign Consultants Find Benefits in Budget Impasse ,budget talks suspended,1
88,1/12/1996,"At First, Only the Snow Piled Up ",picture of the blizzard,26
89,1/12/1996,Fear of Mad-Cow Disease Spoils Britain's Appetite ,mad cow disease in britain,19
90,1/12/1996,GIULIANI IS FORMING A NEW CITY AGENCY ON CHILD WELFARE ,child welfare in nyc,12
91,1/12/1996,"TURMOIL AT BARNEYS: THE DIFFICULTIES; Barneys Is Seeking Bankruptcy, Citing Fight With Partner ",barneys seeks bankruptcy,15
92,1/12/1996,THE BLIZZARD OF 1996: THE COMMUTERS; Overoptimism Cited for Chaos At Metro-North ,blizzard in NYC,26
93,1/13/1996,THE BLIZZARD OF 1996: THE OVERVIEW; NEW STORM BRINGS MORE WINTRY WOE TO NEW YORK AREA ,blizzard in new york,26
94,1/13/1996,High Court to Rule On Antidrug Tactic ,lawsuit over drug tactic,12
95,1/13/1996,"For Mexico Indians, New Voice but Few Gains ",indians in mexico,19
